,X,Y,Z,R,G,B,names
0,-51.3351,-9.09543,1.04324,1.33134,9.22519,1.20632,AMSOR
1,-50.4085,-4.4423,5.67445,2.39317,5.77771,13.1524,I1R
2,-49.8931,6.89971,1.57586,1.23012,8.46297,1.53671,AMSOL
3,-49.8205,2.03476,4.98443,2.66708,6.3238,12.955,I1L
4,-40.8236,-0.797827,-4.34937,3.00624,3.36477,-0.676342,MI
5,-38.8017,-4.89782,3.99751,2.36603,3.14184,-0.262602,MCR
6,-38.6473,-0.895189,-3.77713,18.5786,8.01464,-1.78805,I3
7,-38.4815,-7.50208,5.42504,14.0599,5.25595,3.1066,I2R
8,-38.3023,4.72958,5.54315,12.7447,4.53082,3.64345,I2L
9,-38.0716,2.30034,4.1184,2.30296,3.21519,-0.560402,MCL
10,-36.4108,-6.79395,4.39921,4.26111,3.53305,-0.751848,NSMR
11,-35.8895,5.06501,5.39464,4.33818,3.55562,-0.716966,NSML
12,-34.3262,-0.757286,-3.37818,1.915,2.57113,0.709377,M4
13,-32.945,3.84209,-3.3061,9.36901,11.1036,-1.23525,IL2DL
14,-32.321,-5.81843,-4.75179,10.612,12.4078,-1.28423,IL2DR
15,-31.5851,-3.93404,2.65979,13.662,27.739,-0.137895,M3R
16,-31.4645,2.93692,3.15826,13.1923,28.4537,-0.0455621,M3L
17,-27.9935,4.19158,-4.19426,-0.720575,-0.768075,14.4159,URADL
18,-27.9659,-5.77723,-4.41104,-0.387353,-0.741108,15.692,URADR
19,-27.7251,2.31032,6.09243,11.7833,13.8191,-1.42544,IL2VL
20,-26.9131,-8.75585,-0.514794,9.59662,9.76596,-0.729635,IL2R
21,-26.901,2.32314,-5.34409,23.4038,5.75568,0.399137,IL1DL
22,-26.1987,-3.85066,-5.45509,23.8285,5.71849,0.796342,IL1DR
23,-26.1846,5.14308,-1.98179,-0.115083,13.0973,15.4898,OLLL
24,-26.0446,7.49825,0.388988,7.23093,8.85767,-0.897923,IL2L
25,-25.8369,-6.96246,-2.36074,-0.0935486,11.93,16.9202,OLLR
26,-25.7517,-7.32491,0.491394,9.59607,4.02949,0.96588,IL1R
27,-25.5021,5.4246,0.697808,9.94255,3.98315,0.799288,IL1L
28,-25.1508,-5.83832,5.64731,10.8373,13.2101,-1.05876,IL2VR
29,-24.9067,4.40869,-4.60559,4.68672,5.0773,16.901,URYDL
30,-24.7266,-6.19916,-4.68212,4.18648,4.44304,16.7184,URYDR
31,-24.5371,1.16466,5.62558,23.7931,6.54869,0.403248,IL1VL
32,-24.0342,-3.70269,5.46331,23.908,6.47525,0.182766,IL1VR
33,-23.5375,2.67869,-7.08326,8.79223,25.7684,1.09442,OLQDL
34,-23.4658,-8.57376,-0.774063,1.43186,5.45572,1.30616,URBR
35,-23.0225,-4.43362,-7.35302,9.45533,24.1921,0.140197,OLQDR
36,-22.9893,-6.87702,2.21857,4.50394,4.64794,17.3099,URYVR
37,-22.8773,4.774,2.20371,3.39857,4.64556,17.5776,URYVL
38,-22.6734,6.8663,0.0134372,1.65506,4.82208,0.723498,URBL
39,-22.6449,-1.37432,-9.08524,-0.786944,0.047658,13.2224,RMED
40,-22.569,-6.58794,-1.46903,2.26035,3.17434,0.388388,RIPR
41,-22.0451,5.1662,-0.789643,1.98662,2.8901,0.28669,RIPL
42,-21.0618,2.40368,4.32039,-0.73459,-1.02399,17.1077,URAVL
43,-20.7523,-5.1393,3.1083,-1.1251,-1.04697,16.0786,URAVR
44,-20.3064,-7.65647,-2.14425,0.962679,0.402435,17.4149,RMER
45,-20.1843,6.31677,-1.77775,0.955227,0.587702,18.3427,RMEL
46,-19.4604,-6.78424,1.91777,12.6436,28.0374,0.123931,OLQVR
47,-19.2822,4.12748,2.57501,11.946,27.5279,0.229503,OLQVL
48,-18.2917,-8.52971,0.398375,6.4706,4.67524,2.19158,BAGR
49,-18.1835,6.75429,0.900653,6.48894,4.54787,1.72499,BAGL
50,-16.2224,-1.31135,-10.6266,1.90147,2.879,-0.502478,RID
51,-15.8433,2.18225,4.53154,20.2128,7.95918,14.8258,CEPVL
52,-15.4602,-5.68427,3.26478,20.8821,8.09002,11.9536,CEPVR
53,-13.4105,-0.538079,-10.7263,-0.831324,-1.1305,16.2591,ALA
54,-13.3698,-5.35274,-9.0451,20.1954,6.96988,11.8856,CEPDR
55,-13.3572,4.29801,-8.41013,20.8935,7.81013,12.1274,CEPDL
56,-12.4462,-3.7852,-8.41491,8.40603,26.2013,0.603293,URXR
57,-12.3551,2.89678,-8.17686,7.79186,25.8074,0.13515,URXL
58,-12.2477,-7.24599,-4.83201,3.02792,4.30399,15.2503,SAAVR
59,-11.6975,6.3547,-4.47646,0.843558,4.01795,14.2087,SAAVL
60,-11.6853,8.38403,-1.61099,22.7067,9.40969,2.86429,RMDVL
61,-11.6841,-9.73275,-2.41352,22.5003,9.00761,4.40355,RMDVR
62,-11.3644,-0.957003,4.47089,-0.750016,-0.180925,12.713,RMEV
63,-11.306,-8.11021,-6.04078,15.8278,10.3829,2.55607,SMDVR
64,-10.5857,-6.30191,-5.98924,9.45684,3.65732,2.62271,RIAR
65,-10.5063,7.05754,-5.85177,19.0186,10.8552,1.10624,SMDVL
66,-10.1465,5.48815,-5.233,7.9098,3.09715,2.83635,RIAL
67,-9.46316,-8.85061,-2.16602,18.1341,14.8192,16.9794,AVAR
68,-9.39384,7.10425,-1.82762,18.1983,16.3575,16.7976,AVAL
69,-9.39083,-1.81645,4.18067,1.23561,5.51793,15.0993,RIH
70,-9.21718,-4.90486,-8.14531,2.42732,5.62328,-0.255618,ASKR
71,-8.87904,2.70868,-9.16425,20.1214,7.07021,1.24528,HMC
72,-8.33084,4.84082,-7.75331,2.36967,5.52614,-0.312525,ASKL
73,-8.18489,-8.47315,-3.46843,-0.506022,-0.86093,17.8612,AFDR
74,-8.08534,4.45935,-0.324295,19.4341,25.3604,4.09443,AVEL
75,-7.86151,-6.26319,-1.03558,19.1227,25.0592,5.6783,AVER
76,-7.53069,-7.92027,-4.95344,1.36608,2.61338,0.452712,ADFR
77,-7.45816,6.23937,1.04985,20.0874,7.55383,12.3521,RMDL
78,-7.08654,6.37228,-4.2185,1.49005,2.65303,0.232833,ADFL
79,-6.96769,-8.15891,0.250593,18.9713,7.27883,14.8895,RMDR
80,-6.7383,6.1415,-1.76537,-0.186205,-0.851313,17.8871,AFDL
81,-6.66166,-2.26388,3.93791,0.860259,5.03313,12.4041,SAADR
82,-6.03884,0.697582,3.49418,18.0614,13.7855,1.78789,SMDDL
